perfume_name,brand,gender,accords,short_description,long_description,perfumer,top_notes,middle_notes,base_notes,rating,total_votes,img,logo
Yves Saint Laurent Y Yves Saint Laurent ,Yves Saint Laurent,for men,"aromatic,fresh,citrus,fresh spicy,green,amber,aldehydic,fruity,woody,warm spicy","Yves Saint Laurent Y  by  Yves Saint Laurent  is a Woody Aromatic fragrance for men.  Yves Saint Laurent Y  was launched in 2017. The nose behind this fragrance is Dominique Ropion. Top notes are Aldehydes, Bergamot, Ginger, Mint and Lemon; middle notes are Apple, Violet Leaf, Pineapple, Sage and Geranium; base notes are Ambergris, Musk, Cedar, Balsam Fir, Vetiver and Incense. ","Yves Saint Laurent launches a new men's fragrance for Generation Y (those who were born in the 1980s and 1990s). The fragrance is named Y and is capturing the spirit of youth with the goal of offering a millennial generation something different. 
 ""Y, the new masculine fragrance by Yves Saint Laurent. Inspired by the iconic Yves Saint Laurent white t-shirt and black jacket, this Eau De Toilette represents a balance between freshness and strength. Like a crisp white t-shirt, notes of bergamot, sage and ginger offer a sharp juicy freshness to challenge convention and exceed all expectations. At its base, soft notes of balsam fir, cedarwood and marine ambergris embody the subtle power of a tailored black jacket that is refined, chic and surprisingly powerful. An authentic and bold creation; masculinity re-defined. Everything starts with a Why. #THATSY"" 
 Top notes: white aldehydes, bergamot, ginger Heart: sage, geranium absolute, violet leaf Base: ambergris, incense, fir balsam, cedar, musk 
 Hip-hop musician Loyle Carner, sculptor David Alexander Flin and artificial intelligence researcher Alexandre Robicquet were selected as the faces of the advertising campaign. 
 The fragrance is available as a 60 and 100 ml Eau de Toilette.",Dominique Ropion,"Aldehydes,Bergamot,Ginger,Mint,Lemon","Apple,Violet Leaf,Pineapple,Sage,Geranium","Ambergris,Musk,Cedar,Balsam Fir,Vetiver,Incense",3.88,"3,507",https://fimgs.net/mdimg/perfume/375x500.45956.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Yves Saint Laurent Pour Homme Yves Saint Laurent ,Yves Saint Laurent,for men,"aromatic,citrus,woody,fresh spicy,herbal,warm spicy,lavender","Yves Saint Laurent Pour Homme  by  Yves Saint Laurent  is a Woody Aromatic fragrance for men.  Yves Saint Laurent Pour Homme  was launched in 1971. The nose behind this fragrance is Raymond Chaillan. Top notes are Lemon, Lavender, Lemon Verbena, Petitgrain and Bergamot; middle notes are Rosemary, Geranium, Brazilian Rosewood, Marjoram, Clary Sage and Carnation; base notes are Vetiver, Musk, Patchouli, Sandalwood, Cedar, Tonka Bean and Amber. ",,Raymond Chaillan,"Lemon,Lavender,Lemon Verbena,Petitgrain,Bergamot","Rosemary,Geranium,Brazilian Rosewood,Marjoram,Clary Sage,Carnation","Vetiver,Musk,Patchouli,Sandalwood,Cedar,Tonka Bean,Amber",4.27,702,https://fimgs.net/mdimg/perfume/375x500.2875.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Yves Saint Laurent Kouros Silver Yves Saint Laurent ,Yves Saint Laurent,for men,"fruity,amber,aromatic,herbal,fresh,soft spicy,woody,green",Yves Saint Laurent Kouros Silver  by  Yves Saint Laurent  is a Woody Aromatic fragrance for men.  Yves Saint Laurent Kouros Silver  was launched in 2015. Yves Saint Laurent Kouros Silver was created by Michel Girard and Olivier Pescheux. Top note is Apple; middle note is Sage; base notes are Amber and Woody Notes. ,"Yves Saint Laurent launched the iconic fragrance Kouros in 1981. Kouros Silver, coming out in 2015, is a new, modern interpretation of the classic. It is intended for summer season, fresher and cooler than the original. 
 
 Created by perfumers Michel Girard and Olivier Pescheux, the composition begins with fresh fruity accords apple that develops into the aromatic heart of sage. Sensual woody notes and amber form the base of the perfume.","Michel Girard,Olivier Pescheux",Apple,Sage,"Amber,Woody Notes",3.83,651,https://fimgs.net/mdimg/perfume/375x500.30240.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Y Le Parfum Yves Saint Laurent ,Yves Saint Laurent,for men,"aromatic,fresh spicy,fresh,warm spicy,herbal,fruity,lavender,aldehydic,citrus,woody","Y Le Parfum  by  Yves Saint Laurent  is a Oriental Fougere fragrance for men.  Y Le Parfum  was launched in 2021. Top notes are Apple, Aldehydes, Grapefruit and Ginger; middle notes are Lavender, Sage and Geranium; base notes are Tonka Bean, Cedar, Olibanum and Patchouli. ","Y LE PARFUM is a new, more intensive version of the Yves Saint Laurent men's perfume Y. The perfume is announced as a powerful and dark fougÃ¨re composition that combines freshness and intensity and results in elegance. 
 Top notes: grapefruit, apple accord, ginger, aldehydes 
Heart: sage, lavender essence, geranium absolute 
Base: cedar, olibanum, tonka, patchouli essence 
 Yves Saint Laurent Y Le Parfum is available as a 60 and 100 ml Eau de Parfum.",,"Apple,Aldehydes,Grapefruit,Ginger","Lavender,Sage,Geranium","Tonka Bean,Cedar,Olibanum,Patchouli",4.38,"3,895",https://fimgs.net/mdimg/perfume/375x500.64718.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Y Eau Fraiche Yves Saint Laurent ,Yves Saint Laurent,for men,"aromatic,fresh spicy,citrus,warm spicy,green,woody,lavender,fresh","Y Eau Fraiche  by  Yves Saint Laurent  is a Woody Aromatic fragrance for men.  Y Eau Fraiche  was launched in 2020. Top notes are Lemon, Ginger and Pepper; middle notes are Mint, Geranium, Juniper Berries and Lavender; base notes are Cedar and Olibanum. ",,,"Lemon,Ginger,Pepper","Mint,Geranium,Juniper Berries,Lavender","Cedar,Olibanum",4.2,"1,060",https://fimgs.net/mdimg/perfume/375x500.60094.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Trench Yves Saint Laurent ,Yves Saint Laurent,for women and men,"citrus,iris,powdery,musky,woody,floral,violet,fruity,white floral,sweet","Trench  by  Yves Saint Laurent  is a Floral Fruity fragrance for women and men.  Trench  was launched in 2015. The nose behind this fragrance is Amandine Clerc-Marie. Top notes are Tangerine, Bergamot and Fig; middle notes are Iris and Neroli; base notes are Musk, Ambrette (Musk Mallow) and Cedar. ","In November 2015, Yves Saint Laurent presents its new collection of luxury fragrances Le Vestiaire des Parfums, which includes five new releases: Caban, Caftan, Tuxedo, Saharienne and Trench. The ""perfume wardrobe"" collection is inspired by the iconic pieces of Yves Saint Laurent clothing.
 
 
Trench is a scent of citruses, dry cedar and iris.
 
 
All the fragrances are unisex. They are available as 125 ml Eau de Parfum.",Amandine Clerc-Marie,"Tangerine,Bergamot,Fig","Iris,Neroli","Musk,Ambrette (Musk Mallow),Cedar",4.15,433,https://fimgs.net/mdimg/perfume/375x500.32271.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Y Eau de Parfum Yves Saint Laurent ,Yves Saint Laurent,for men,"aromatic,woody,fresh spicy,warm spicy,amber,fruity,fresh,citrus,herbal,green","Y Eau de Parfum  by  Yves Saint Laurent  is a Aromatic Fougere fragrance for men.  Y Eau de Parfum  was launched in 2018. The nose behind this fragrance is Dominique Ropion. Top notes are Apple, Ginger and Bergamot; middle notes are Sage, Juniper Berries and Geranium; base notes are Amberwood, Tonka Bean, Cedar, Vetiver and Olibanum. ","YSL is introducing a new version of Y fragrance - Y Eau De Parfum - packaged in a darker bottle. 
 Y Eau de Parfum, is coming out on the global market in September 2018 as ""a seductive fragrance interpretation of Yves Saint Laurent's iconic white T-shirt and black jacket."" 
 Â Perfumer Dominique Ropion constructed the new composition as deep, fresh and masculine, with aromatic, spicy, woody and fougere features.Â  
 Top notes: bergamot, ginger, apple 
Heart: sage, geranium, juniper berries 
Base: vetiver, cedar, tonka, amber woods, olibanum 
 The fragrance is available as a 60 and 100 ml of Eau de Parfum. 
Â ",Dominique Ropion,"Apple,Ginger,Bergamot","Sage,Juniper Berries,Geranium","Amberwood,Tonka Bean,Cedar,Vetiver,Olibanum",4.39,"15,878",https://fimgs.net/mdimg/perfume/375x500.50757.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Supreme Bouquet Yves Saint Laurent ,Yves Saint Laurent,for women and men,"white floral,fruity,sweet,tuberose,yellow floral,woody,animalic,amber,musky,patchouli","Supreme Bouquet  by  Yves Saint Laurent  is a Oriental Floral fragrance for women and men.  Supreme Bouquet  was launched in 2013. The nose behind this fragrance is Dominique Ropion. Top notes are Fruity Notes, Pear and Pink Pepper; middle notes are Tuberose, Ylang-Ylang and Jasmine; base notes are Amber, Patchouli and Musk. ","""...a blend of whimsical tuberose, exotic ylang and enigmatic jasmine. Their blossoms drenched in luscious fruit and animal scents, fully spread their opulence. As a counterpoint, the vibrancy of the ambery wood accord, musks and patchouli is an invitation to serenity.""",Dominique Ropion,"Fruity Notes,Pear,Pink Pepper","Tuberose,Ylang-Ylang,Jasmine","Amber,Patchouli,Musk",4.28,573,https://fimgs.net/mdimg/perfume/375x500.18369.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Tuxedo Yves Saint Laurent ,Yves Saint Laurent,for women and men,"patchouli,amber,vanilla,ozonic,fresh spicy,warm spicy,balsamic,woody,rose,aquatic","Tuxedo  by  Yves Saint Laurent  is a Chypre fragrance for women and men.  Tuxedo  was launched in 2015. The nose behind this fragrance is Juliette Karagueuzoglou. Top notes are Violet Leaf, Coriander and Bergamot; middle notes are Rose, Black Pepper and Lily-of-the-Valley; base notes are Patchouli, Ambergris and Bourbon Vanilla. ","In November 2015, Yves Saint Laurent presents its new collection of luxury fragrances Le Vestiaire des Parfums, which includes five new releases: Caban, Caftan, Tuxedo, Saharienne and Trench. The ""perfume wardrobe"" collection is inspired by the iconic pieces of Yves Saint Laurent clothing.
 
 
Tuxedo is a bit masculine, elegant and dark with accords of patchouli and spices.  
 
All the fragrances are unisex. They are available as 125 ml Eau de Parfum.",Juliette Karagueuzoglou,"Violet Leaf,Coriander,Bergamot","Rose,Black Pepper,Lily-of-the-Valley","Patchouli,Ambergris,Bourbon Vanilla",4.46,"2,909",https://fimgs.net/mdimg/perfume/375x500.32269.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Wild Leather Yves Saint Laurent ,Yves Saint Laurent,for women and men,"leather,woody,warm spicy,soft spicy,fresh spicy,vanilla,powdery,musky,animalic,sweet",Wild Leather  by  Yves Saint Laurent  is a Leather fragrance for women and men.  Wild Leather  was launched in 2021. The nose behind this fragrance is Fanny Bal. ,,Fanny Bal,"Suede,Leather,Licorice,Bourbon Vanilla,Saffron,Guaiac Wood,Patchouli,Black Pepper,Bergamot,Lavender,Thyme,Orange Blossom,Geranium",,,4.38,135,https://fimgs.net/mdimg/perfume/375x500.67579.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Sleek Suede Yves Saint Laurent ,Yves Saint Laurent,for women and men,"warm spicy,woody,cacao,fresh spicy,oud,patchouli,amber,sweet,balsamic,tobacco","Sleek Suede  by  Yves Saint Laurent  is a Oriental fragrance for women and men.  Sleek Suede  was launched in 2017. The nose behind this fragrance is Mathilde Bijaoui. Top notes are Cacao Pod, Incense, Nutmeg, Pepper and Cloves; middle notes are Agarwood (Oud) and Cedar; base notes are Patchouli, Woody Notes, Tobacco, Vanilla and Labdanum. ","Sleek Suede also has a thematic relation to Morocco, a cradle of leather craft, and deals with the soft suede note, which made many of YSL fashionable pieces in the signature sleek silhouettes. The composition, signed by perfumer Mathilde Bijaoui, contains cacao bean, incense, black oud, cedar, patchouli and vanilla. 
 Yves Saint Laurent dedicated a special collection of perfumes to its famous pieces of clothing.Â  Le Vestiaire des Parfums line premiered in fall 2015 with five editions, followed by the first sub-collection Le Vestiaire des Parfums Collection de Nuit in September 2016 with three new fragrances. In September 2017, a new line within this concept will be available at selected stores worldwide - Le Vestiaire des Parfums Oriental Collection - featuring five new perfumes inspired by de designerâ€™s trips, mostly to Morocco. 
 Available as a 75 ml Eau de Parfum.               ",Mathilde Bijaoui,"Cacao Pod,Incense,Nutmeg,Pepper,Cloves","Agarwood (Oud),Cedar","Patchouli,Woody Notes,Tobacco,Vanilla,Labdanum",4.3,358,https://fimgs.net/mdimg/perfume/375x500.46244.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Splendid Wood Yves Saint Laurent ,Yves Saint Laurent,for women and men,"woody,warm spicy,oud,amber,smoky,aromatic","Splendid Wood  by  Yves Saint Laurent  is a Woody Spicy fragrance for women and men.  Splendid Wood  was launched in 2014. Splendid Wood was created by Marie Salamagne and Amandine Clerc-Marie. Top notes are Incense and Cardamom; middle notes are Oriental Woodsy notes and Jasmine Sambac; base notes are Agarwood (Oud), Cypriol Oil or Nagarmotha and Cedar. ","Yves Saint Laurent Oriental Collection has received the fourth fragrance inspired by wood. That is the edition called Splendid Wood based on precious woody notes created in oriental style. Precious ingredients for this fragrance to fill the luxurious glass flacon decorated with gold colors were selected by perfumers Marie Salamagne and Amandine Marie. 
 
The woody composition in which the main role is played by several types of wood from the Middle East along with oud and cedar is spiced with cardamom and thyme. Gentle and elegant sambac jasmine petals provide a fine layer which cools the woody-spicy character, accompanied with cypriol bestowing characteristic woody-earthy shades. After Majestic Rose, Noble Leather and Supreme Bouquet introduced last year, the new fragrance of the Oriental Collection can be expected on the market in March 2014.  
 
Flacon of the new perfume Splendid Wood repeats form and design of previous editions of the Oriental collection and will be available as 80ml Eau de Parfum.","Amandine Clerc-Marie,Marie Salamagne","Incense,Cardamom","Oriental Woodsy notes,Jasmine Sambac","Agarwood (Oud),Cypriol Oil or Nagarmotha,Cedar",4.2,301,https://fimgs.net/mdimg/perfume/375x500.24035.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Rouge Velours Yves Saint Laurent ,Yves Saint Laurent,for women and men,"rose,patchouli,woody,earthy,white floral,floral,warm spicy,green,iris,musky","Rouge Velours  by  Yves Saint Laurent  is a Chypre Floral fragrance for women and men.  Rouge Velours  was launched in 2021. Top notes are White Tea and Pink Pepper; middle notes are Rose, Jasmine and Iris; base notes are Patchouli, Vetiver and Musk. ",,,"White Tea,Pink Pepper","Rose,Jasmine,Iris","Patchouli,Vetiver,Musk",4.11,307,https://fimgs.net/mdimg/perfume/375x500.68213.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Paris Premieres Roses Yves Saint Laurent ,Yves Saint Laurent,for women,"rose,violet,floral,powdery,aromatic,fruity,fresh,green,soft spicy,woody","Paris Premieres Roses  by  Yves Saint Laurent  is a Floral fragrance for women.  Paris Premieres Roses  was launched in 2003. Paris Premieres Roses was created by Laurent Bruyere, Dominique Ropion and Sophia Grojsman. ",,"Dominique Ropion,Laurent Bruyere,Sophia Grojsman","Rose,Violet,Cassia",,,4.36,94,https://fimgs.net/mdimg/perfume/375x500.2287.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
Parisienne Yves Saint Laurent ,Yves Saint Laurent,for women,"fruity,rose,floral,violet,powdery,vinyl,fresh,woody,sweet,musky","Parisienne  by  Yves Saint Laurent  is a Floral Woody Musk fragrance for women.  Parisienne  was launched in 2009. Parisienne was created by Sophia Grojsman and Sophie Labbe. Top notes are Blackberry, Cranberry and Vinyl; middle notes are Damask Rose, Violet and Peony; base notes are Musk, Sandalwood, Vetyver and Patchouli. ","Perfumers: Sophia Grojsman, Sophie Labbe.  
 
Commercial face: Kate Moss.  
 
Edition: Yves Sain Laurent 2009. 
 
 This fragrance YSL appeared on the market in 2009, romantically named Parisienne, which implicates its Paris fragrance antecedents, as well as its edited bottle design. Besides the official notes of Damascus rose, violet, peony, cranberry, patchouli, vetiver, musk and sandalwood, it also contains urban and bold aromas of vinyl and lacquer, reminding us of the special scent of a cosmetic bag, make â€“ up and high-heels on the hot city asphalt.","Sophia Grojsman,Sophie LabbÃ©","Blackberry,Cranberry,Vinyl","Damask Rose,Violet,Peony","Musk,Sandalwood,Vetyver,Patchouli",3.77,"6,237",https://fimgs.net/mdimg/perfume/375x500.6493.jpg,https://fimgs.net/mdimg/dizajneri/m.99.jpg
